Error for realdata\echoMonths.csv : 0.37015946379628617  Time : 0:10:06.629501 Params  : {'epochs': 500, 'hint_rate': 0.7, 'alpha': 100}
Error for realdata\echoMonths.csv : 0.4150009646815134  Time : 0:10:10.283800 Params  : {'epochs': 500, 'hint_rate': 0.9, 'alpha': 0.1}
Error for realdata\echoMonths.csv : 0.40198017961495724  Time : 0:10:12.038425 Params  : {'epochs': 500, 'hint_rate': 0.9, 'alpha': 1}
Error for realdata\echoMonths.csv : 0.4108580099950524  Time : 0:10:51.814558 Params  : {'epochs': 500, 'hint_rate': 0.9, 'alpha': 100}
Error for realdata\echoMonths.csv : 0.42251612867608673  Time : 0:12:06.413901 Params  : {'epochs': 5000, 'hint_rate': 0.5, 'alpha': 0.1}
Error for realdata\echoMonths.csv : 0.39040400369808814  Time : 0:12:26.416061 Params  : {'epochs': 5000, 'hint_rate': 0.5, 'alpha': 1}
Error for realdata\echoMonths.csv : 0.3983380428160387  Time : 0:12:20.217927 Params  : {'epochs': 5000, 'hint_rate': 0.5, 'alpha': 100}
Error for realdata\echoMonths.csv : 0.38999595266864795  Time : 0:13:37.108837 Params  : {'epochs': 5000, 'hint_rate': 0.7, 'alpha': 0.1}
Error for realdata\echoMonths.csv : 0.40200809382128366  Time : 0:14:08.636016 Params  : {'epochs': 5000, 'hint_rate': 0.7, 'alpha': 1}
Error for realdata\echoMonths.csv : 0.3865993139355755  Time : 0:14:48.191016 Params  : {'epochs': 5000, 'hint_rate': 0.7, 'alpha': 100}
Error for realdata\echoMonths.csv : 0.39495069509151315  Time : 0:15:18.882352 Params  : {'epochs': 5000, 'hint_rate': 0.9, 'alpha': 0.1}
Error for realdata\echoMonths.csv : 0.41060113044494384  Time : 0:15:19.403826 Params  : {'epochs': 5000, 'hint_rate': 0.9, 'alpha': 1}
Error for realdata\echoMonths.csv : 0.35877091042040093  Time : 0:16:39.268438 Params  : {'epochs': 5000, 'hint_rate': 0.9, 'alpha': 100}
Error for realdata\echoMonths.csv : 0.4132805937438645  Time : 0:11:29.924714 Params  : {'epochs': 10000, 'hint_rate': 0.5, 'alpha': 0.1}
Error for realdata\echoMonths.csv : 0.33409229007481495  Time : 0:11:16.208241 Params  : {'epochs': 10000, 'hint_rate': 0.5, 'alpha': 1}
Error for realdata\echoMonths.csv : 0.4230375518913904  Time : 0:11:46.086911 Params  : {'epochs': 10000, 'hint_rate': 0.5, 'alpha': 100}
Error for realdata\echoMonths.csv : 0.4031810482118255  Time : 0:12:11.961726 Params  : {'epochs': 10000, 'hint_rate': 0.7, 'alpha': 0.1}
Error for realdata\echoMonths.csv : 0.38493534689055553  Time : 0:12:22.801083 Params  : {'epochs': 10000, 'hint_rate': 0.7, 'alpha': 1}
Error for realdata\echoMonths.csv : 0.39247739349278793  Time : 0:12:38.463514 Params  : {'epochs': 10000, 'hint_rate': 0.7, 'alpha': 100}
Error for realdata\echoMonths.csv : 0.3689164893590891  Time : 0:13:05.951503 Params  : {'epochs': 10000, 'hint_rate': 0.9, 'alpha': 0.1}
Error for realdata\echoMonths.csv : 0.3967429009393669  Time : 0:13:29.697091 Params  : {'epochs': 10000, 'hint_rate': 0.9, 'alpha': 1}
Error for realdata\echoMonths.csv : 0.4287751611525345  Time : 0:14:01.547045 Params  : {'epochs': 10000, 'hint_rate': 0.9, 'alpha': 100}
Error for realdata\fishcatch.csv : 0.9484330467901131  Time : 0:13:53.649632 Params  : {'epochs': 500, 'hint_rate': 0.5, 'alpha': 0.1}
Error for realdata\colleges_aaup.csv : 0.9776571532991494  Time : 0:00:05.381895 Params  : {'epochs': 500, 'hint_rate': 0.5, 'alpha': 0.1}
Error for realdata\colleges_aaup.csv : 0.9791710315777336  Time : 0:00:06.736637 Params  : {'epochs': 500, 'hint_rate': 0.5, 'alpha': 1}
Error for realdata\colleges_aaup.csv : 0.9791277415344435  Time : 0:00:08.043312 Params  : {'epochs': 500, 'hint_rate': 0.5, 'alpha': 100}
Error for realdata\colleges_aaup.csv : 0.9812043903757981  Time : 0:00:09.661785 Params  : {'epochs': 500, 'hint_rate': 0.7, 'alpha': 0.1}
Error for realdata\colleges_aaup.csv : 0.9791277415344435  Time : 0:00:10.628998 Params  : {'epochs': 500, 'hint_rate': 0.7, 'alpha': 1}
Error for realdata\colleges_aaup.csv : 0.979712536856081  Time : 0:00:12.484243 Params  : {'epochs': 500, 'hint_rate': 0.7, 'alpha': 100}
Error for realdata\colleges_aaup.csv : 0.9791277415344435  Time : 0:00:13.871410 Params  : {'epochs': 500, 'hint_rate': 0.9, 'alpha': 0.1}
Error for realdata\colleges_aaup.csv : 0.979712536856081  Time : 0:00:15.407511 Params  : {'epochs': 500, 'hint_rate': 0.9, 'alpha': 1}
Error for realdata\colleges_aaup.csv : 0.9803185974621413  Time : 0:00:17.231664 Params  : {'epochs': 500, 'hint_rate': 0.9, 'alpha': 100}
Error for realdata\colleges_aaup.csv : 0.9791277415344435  Time : 0:00:42.483622 Params  : {'epochs': 5000, 'hint_rate': 0.5, 'alpha': 0.1}
