Error for realdata\heart-h.csv : 0.7657676178310854  Time : 0:00:34.197787 Params  : {'epochs': 1000, 'dropout': 0.35, 'theta': 5}
Error for realdata\heart-h.csv : 0.7715486635827192  Time : 0:00:33.741051 Params  : {'epochs': 1000, 'dropout': 0.5, 'theta': 5}
Error for realdata\heart-h.csv : 0.7651625795944682  Time : 0:00:33.925487 Params  : {'epochs': 1000, 'dropout': 0.35, 'theta': 7}
Error for realdata\heart-h.csv : 0.7588981708006476  Time : 0:00:33.021292 Params  : {'epochs': 1000, 'dropout': 0.5, 'theta': 7}
Error for realdata\heart-h.csv : 0.7708094327413212  Time : 0:00:34.117039 Params  : {'epochs': 1000, 'dropout': 0.35, 'theta': 10}
Error for realdata\heart-h.csv : 0.7573802829437504  Time : 0:00:35.087191 Params  : {'epochs': 1000, 'dropout': 0.5, 'theta': 10}
Error for realdata\hungarian.csv : 0.7789501552798768  Time : 0:00:14.790442 Params  : {'epochs': 500, 'dropout': 0.35, 'theta': 5}
Error for realdata\hungarian.csv : 0.805403981467449  Time : 0:00:15.223846 Params  : {'epochs': 500, 'dropout': 0.5, 'theta': 5}
Error for realdata\hungarian.csv : 0.8112595278818189  Time : 0:00:14.736396 Params  : {'epochs': 500, 'dropout': 0.35, 'theta': 7}
Error for realdata\hungarian.csv : 0.7916167028705728  Time : 0:00:15.629576 Params  : {'epochs': 500, 'dropout': 0.5, 'theta': 7}
Error for realdata\hungarian.csv : 0.7920791205698328  Time : 0:00:16.751968 Params  : {'epochs': 500, 'dropout': 0.35, 'theta': 10}
Error for realdata\hungarian.csv : 0.7952087943016737  Time : 0:00:16.263405 Params  : {'epochs': 500, 'dropout': 0.5, 'theta': 10}
Error for realdata\hungarian.csv : 0.8125561136489928  Time : 0:00:30.908520 Params  : {'epochs': 1000, 'dropout': 0.35, 'theta': 5}
Error for realdata\hungarian.csv : 0.7872987832600835  Time : 0:00:31.019530 Params  : {'epochs': 1000, 'dropout': 0.5, 'theta': 5}
Error for realdata\hungarian.csv : 0.8149798244411246  Time : 0:00:31.096642 Params  : {'epochs': 1000, 'dropout': 0.35, 'theta': 7}
Error for realdata\hungarian.csv : 0.8014704835927746  Time : 0:00:31.447664 Params  : {'epochs': 1000, 'dropout': 0.5, 'theta': 7}
Error for realdata\hungarian.csv : 0.8055466128298946  Time : 0:00:31.786727 Params  : {'epochs': 1000, 'dropout': 0.35, 'theta': 10}
Error for realdata\hungarian.csv : 0.7940738415351418  Time : 0:00:32.594445 Params  : {'epochs': 1000, 'dropout': 0.5, 'theta': 10}
Error for realdata\kdd_el_nino-small.csv : 0.9155842419276217  Time : 0:00:38.541120 Params  : {'epochs': 500, 'dropout': 0.35, 'theta': 5}
Error for realdata\kdd_el_nino-small.csv : 0.9131588080039025  Time : 0:00:40.262035 Params  : {'epochs': 500, 'dropout': 0.5, 'theta': 5}
Error for realdata\kdd_el_nino-small.csv : 0.9164908200322964  Time : 0:00:38.684928 Params  : {'epochs': 500, 'dropout': 0.35, 'theta': 7}
